-1.55E-02,-4.95E-02,-7.15E-02,5.93E+00,4.15E+00,5.72E+00,,0%,-1%,-1%
-1.30E-01,-8.44E-02,-2.54E-02,2.79E+00,1.32E+00,5.72E+00,,-5%,-6%,0%
1.47E-02,-2.13E-02,-4.87E-02,5.63E+00,1.58E+00,5.72E+00,,0%,-1%,-1%
-3.55E-03,-7.67E-02,-1.24E-02,5.03E+00,4.28E+00,1.09E+00,,0%,-2%,-1%
8.14E-03,-4.29E-02,-2.86E-02,5.19E+00,8.79E-01,1.09E+00,,0%,-5%,-3%
-3.16E-02,9.40E-02,-7.99E-02,6.10E+00,5.12E+00,5.72E+00,,-1%,2%,-1%
1.82E-02,2.13E-02,1.98E-02,3.16E+00,3.93E+00,5.72E+00,,1%,1%,0%
2.19E-02,-5.90E-04,2.58E-02,3.28E+00,3.52E+00,5.72E+00,,1%,0%,0%
-3.81E-03,-7.35E-02,3.32E-02,5.03E+00,2.04E+00,5.72E+00,,0%,-4%,1%
2.47E-02,-1.06E-01,2.88E-02,6.18E+00,1.73E+00,1.09E+00,,0%,-6%,3%
1.30E-01,-2.21E-01,7.63E-02,3.46E+00,8.34E-01,5.72E+00,,4%,-26%,1%
-3.19E-02,-5.67E-02,-1.32E-01,1.92E+00,5.12E+00,5.72E+00,,-2%,-1%,-2%
-1.71E-02,-1.43E-01,5.31E-02,6.50E+00,9.06E-01,1.09E+00,,0%,-16%,5%
-1.55E-02,-9.55E-02,-3.59E-02,4.98E+00,1.21E+00,1.09E+00,,0%,-8%,-3%
-1.52E-02,-3.26E-03,4.28E-02,6.07E+00,1.14E+00,5.72E+00,,0%,0%,1%
-2.89E-02,-1.01E-01,-2.50E-02,3.57E+00,4.97E+00,5.72E+00,,-1%,-2%,0%
-9.50E-04,-7.97E-02,4.85E-03,6.07E+00,5.17E+00,1.09E+00,,0%,-2%,0%
-4.58E-02,2.41E-03,-1.46E-02,3.97E+00,4.63E+00,5.72E+00,,-1%,0%,0%
-9.52E-03,-8.65E-02,-5.55E-02,5.93E+00,3.62E+00,5.72E+00,,0%,-2%,-1%
4.23E-03,-3.25E-02,9.17E-03,2.79E+00,1.73E+00,1.09E+00,,0%,-2%,1%
1.79E-02,3.88E-03,6.02E-02,3.19E+00,2.44E+00,5.72E+00,,1%,0%,1%
1.16E-02,-7.24E-02,2.15E-02,6.32E+00,3.08E+00,1.09E+00,,0%,-2%,2%
2.35E-02,-1.60E-02,2.23E-02,3.38E+00,2.75E+00,5.72E+00,,1%,-1%,0%
3.83E-03,2.50E-02,8.07E-02,4.79E+00,5.17E+00,5.72E+00,,0%,0%,1%
1.35E-02,-8.87E-02,2.43E-02,6.31E+00,2.75E+00,1.09E+00,,0%,-3%,2%
2.57E-02,-7.10E-02,-1.38E-02,3.37E+00,5.24E+00,5.72E+00,,1%,-1%,0%
3.32E-02,5.59E-02,-2.52E-02,2.09E+00,1.86E+00,5.72E+00,,2%,3%,0%
3.38E-02,-3.65E-02,-7.40E-02,1.85E+00,5.24E+00,1.09E+00,,2%,-1%,-7%
-4.61E-02,1.88E-03,-5.51E-02,3.77E+00,2.32E+00,5.72E+00,,-1%,0%,-1%
-4.06E-03,-1.23E-02,-4.92E-03,4.27E+00,3.03E+00,1.09E+00,,0%,0%,0%
-1.26E-02,-1.03E-01,-2.25E-02,3.50E+00,4.97E+00,5.72E+00,,0%,-2%,0%
-2.62E-02,-8.77E-02,3.41E-02,4.60E+00,3.59E+00,5.72E+00,,-1%,-2%,1%
-3.67E-02,-4.70E-02,-3.46E-03,2.09E+00,2.08E+00,1.09E+00,,-2%,-2%,0%
2.12E-02,-6.79E-02,5.43E-02,4.51E+00,5.17E+00,5.72E+00,,0%,-1%,1%
-1.25E-01,-8.30E-02,-2.00E-02,2.85E+00,1.20E+00,5.72E+00,,-4%,-7%,0%
-8.44E-02,-2.59E-02,-1.83E-01,1.85E+00,5.10E+00,5.72E+00,,-5%,-1%,-3%
1.46E-02,-2.01E-02,-4.94E-02,5.63E+00,1.67E+00,5.72E+00,,0%,-1%,-1%
-1.03E-01,-7.83E-02,-2.91E-02,2.68E+00,1.97E+00,5.72E+00,,-4%,-4%,-1%
